4226f4be8745d00f7d23a491ad579a12	Chinese philosophy	Ancient schools of thought shaping East Asian intellectual traditions.
28bdf9225bab0179110c88655dcb1ef4	Taojia ("School of the Tao")	Philosophical Taoism emphasizing natural harmony and effortless action.
961b8cc389aa638f9789f8fd072068a4	Fajia ('School of Law")	Legalist school advocating strict laws and statecraft for social order.
da9f9c8ab914a15c314868a2f3fedd7d	Zonghengjia ("School of Diplomacy")	Strategist school teaching persuasion and political maneuvering.
c802f2cdb6071531e167ba9a33b5998e	Mojia ("School of Mo")	Utilitarian school promoting universal love and practical benefits.
f92991550b292785cdc1e84cd30cc19e	Mingjia ("School of Names")	Logician school studying language, paradoxes, and semantic precision.
991044b4293d947fe64be1b86c441bd2	Nongjia ("School of Agrarianism")	Agricultural school emphasizing farming knowledge and peasant values.
3f458fc9f8986f634e0252784a4eede6	Rujia ("School of Scholars")	Confucian school teaching ritual propriety and moral cultivation.
03b76fbb19ffe76b39f4fd3927dcde90	Yangism	Egoistic philosophy advocating self-preservation and individual benefit.
a31512d709d3909b5a2777acebb0d0a6	Yinyangjia ("School of Yin Yang")	Cosmological school teaching dualistic principles and five elements.
2d237e3df7c14c68f2afecac22001b5f	Zajia ("School of Syncretism")	Eclectic school synthesizing ideas from multiple philosophies.
2ee5e96d582bfb06c6d03a62dab5389e	Confucianism	Ethical system emphasizing filial piety, ritual, and moral governance.
ba58e83c416a6a134965976dc90ee42a	Confucian ritual religion	Religious practice centering on ancestor worship and state rituals.
74d1841c67ecf81f2d5fd56780d153e0	Donglin movement	Ming reform movement advocating moral integrity in government.
452ef69b973f5acf41e390381ccab40e	Han Learning	Qing scholarly movement returning to pre-Song classical interpretation.
feca240b620346895e029281bb746ef2	Korean Confucianism	Korean adaptation emphasizing loyalty and social hierarchy.
b7df6a06f273f0847f0ecf2dd22cfa6f	Donghak	Korean syncretic religion blending Confucianism with egalitarian ideals.
7f83fa3e8d90ccfa8fbaa01d271bff71	Silhak	Korean "Practical Learning" movement advocating empirical research.
13d7b58aedba852798fd2f8711dea3c6	Lingnan Confucianism	South Chinese school integrating local and classical traditions.
720e53e1a3c7ca4498fe76b6ec9e0b32	Neo-Confucianism	Song revival synthesizing Confucianism with Buddhist metaphysics.
c77cc802d9d8cba93420837073c738dc	Cheng-Zhu school	Orthodox Neo-Confucian school emphasizing principle and cultivation.
f40d44ee6b7b0e3ff199c8b9dbb22915	Edo Neo-Confucianism	Japanese interpretation focusing on social order and samurai ethics.
9a978a85d7bb83e05348a7723e842356	Tongcheng school	Literary movement emphasizing moral content and classical prose style.
eeeb855c46b6033080107913ae54388a	Yangmingism	Neo-Confucian school teaching innate moral knowledge and unity of action.
1aeb5414ad40b7d171a95a8eda1a0048	Taizhou School	Radical Yangming branch emphasizing common people's enlightenment.
c2d511c6a36607f86b20959b351d6896	New Confucianism	Modern revival integrating Confucian values with Western philosophy.
983ca6c398efd66751abf0c0f99103af	Confucian church	Religious organizations institutionalizing Confucian worship and rites.
bc05f5b084fcf3fd44c309082f9cc1ca	Indonesian Confucianism	Southeast Asian adaptation recognized as official religion in Indonesia.
4840528d0b85a8790ae16b22ebe168ef	Confucian Academy	Educational institutions teaching classical texts and moral philosophy.
a20dc4ee4545f56eaae0ff1063806912	Progressive Confucianism	Modern interpretation advocating social reform and gender equality.
ad0d71291c208dba0044748ba650e6fd	New Text Confucianism	Han school using reformed classical texts with esoteric meanings.
8049e908389424098cd29bcdec3789bf	Changzhou school	Qing New Text school advocating institutional reform.
33da8b88e4ee8f9fb1855a52c1e30f16	Gongyang school	New Text tradition emphasizing political philosophy and three ages.
0ef17eac2010b6fa30320d7b33a9be3e	Holy Confucian Church	Religious movement venerating Confucius as divine sage.
73ef7873cee6b369b159fc39857caad7	Old Text Confucianism	Han school using ancient texts emphasizing historical literalism.
d355e88a72006b88ce05651b7f7246ce	Tianzuism	Syncretic Chinese teaching combining Confucianism with Christianity.
83285ca1f4d04df68077f2d80491f742	Taigu school	Ming movement teaching sudden enlightenment and universal salvation.
a18bcc9118729f659ad305c657bda3f4	Taoism	Chinese tradition emphasizing harmony with Tao through naturalness and balance.
7bf3190c63840d1327305faf21991cfa	Dokyo	Japanese Taoism adapted with Shinto and esoteric Buddhist elements.
2c327e91f6a115c1c9df9dbdcbd61bc4	Korean Taoism	Korean adaptation incorporating local shamanic and Confucian influences.
b87304b294bc751add68a42aa46998bc	Kunlun	Mystical mountain tradition emphasizing immortality practices.
124c8bbe4b97835ca7815c6bb7efb5fa	New Taoism	Modern revival adapting classical teachings to contemporary context.
6a2b3b867dcc6630b849f4a6cfeb9442	Qigong	Energy cultivation practice integrating breath, movement, and meditation.
c237de394d2c69510371afa9a7c49688	Zhong Gong	Modern qigong movement combining Taoist and Buddhist techniques.
432981c738ef1bfe56bf1aec0ed324e1	Quanzhen School ("School of the Fulfilled Virtue")	Monastic order emphasizing internal alchemy and meditation.
1c8537836b9ee27d0e483754fcd8c999	Shangqing School ("School of the Highest Clarity")	Visionary tradition using meditation and revealed scriptures.
17f4f8f921ee4a4c8ab6611a2612f701	Way of the Five Pecks of Rice	Early communal movement with healing and tax collection rituals.
a564b898d4ef7282ce39953f85f3dd55	Way of the Celestial Masters	Organized tradition with priests, rituals, and hierarchical structure.
acd2cd03f2af9547f21afccf154aeeab	Northern Celestial Masters	Branch emphasizing monastic discipline and internal alchemy.
1464251855497195ad7dbd8016d64611	Zhengyi Dao ("Way of the Right Oneness")	Liturgical tradition with hereditary priests and community rituals.
642fdff5a133f0d6fcc9cbe2308be9d0	Syncretic Taoism	Schools blending Taoist, Buddhist, and Confucian teachings.
705cbcb480f016c50eb83408de785786	Dragon Gate Taoism	Quanzhen branch emphasizing meditation, celibacy, and ascetic practice.
0f31aa0d09a06b7609b204f0ddc67891	Wuliupai ("School of Wu-Liu")	Internal alchemy school teaching dual cultivation methods.
891104ed245c9e88068c8a558a3e3583	Huang–Lao	Early political philosophy combining Taoism with Legalist governance.
1bb9f223e4d9ede03d1cbff4be2b1918	Kōshin	Japanese folk practice blending Taoism with Buddhist and Shinto elements.
3395cdb70e00ff4f12e287a5ffc4e04f	Xuanxue ("Neo-Taoism")	Philosophical movement emphasizing metaphysics and naturalism.
5751849ebb293b5b35dfed8bd8b76605	Yao Taoism ("Meishanism")	Ethnic Yao tradition blending Taoism with ancestral worship.
2ab5279799d02bcd8afb26fdc6929a75	Buddhism	Tradition teaching impermanence, non-self, and middle path to nirvana.
95a74ebb77e87840d3518fd473fe2997	Pre-sectarian Buddhism (theorized)	Earliest hypothetical form before sectarian divisions emerged.
caf59196514078227fc52c8d66ce9278	Mahayana	"Great Vehicle" emphasizing bodhisattva path and universal liberation.
7bc55cff5b807789a17079ec83efe039	Chinese Buddhism	Sinicized traditions integrating local philosophy and culture.
b1e55840a0ecf1fb8e6f6e16ba13b114	Tiantai	Chinese school teaching all beings' Buddha-nature and Lotus Sutra primacy.
f01937f9e88a8ab98970dcf02109a1f1	Tendai	Japanese adaptation of Tiantai with esoteric and Pure Land elements.
06c224b39299535ac0e496522698b1c2	Cheontae	Korean transmission of Tiantai emphasizing meditation and study.
66ecd596dc693b082785e08298e11745	Huayan school	Chinese tradition teaching interpenetration and totality doctrine.
b1f9e33e32360a26bc54399708c4486a	Baiyunzong (syncretic)	Medieval Chinese movement blending Buddhism, Taoism, and Confucianism.
0b833a3d2d92f19e1c525a52f2a43e93	Daśabhūmikā	Mahayana teaching on ten bodhisattva stages toward enlightenment.
b1668b00ddfc28b5a51572c9901405f6	Chan Buddhism	Chinese meditation school emphasizing direct insight and transmission.
0db27cd208c72125f40552b0521bbde4	Seon Buddhism	Korean Zen emphasizing sudden enlightenment through meditation and koans.
95fed4f3b24db2400ae983b967c5d658	Jogye Order	Largest Korean Buddhist order combining meditation and scriptural study.
df4974cc9d39b0448985e63997a1b55e	Kwan Um School	International Korean Zen teaching "don't know" mind and social engagement.
d6b8258825c839063bce6c866a0a6100	Taego Order	Korean order allowing married clergy and emphasizing accessibility.
3c10954dc1ba1babac1c9690e93a182e	Thiền Buddhism	Vietnamese Zen blending meditation with devotional and social practice.
d6ae5f244e1fe9cf8341e7621af1bd33	Tiep Hien Order	Thich Nhat Hanh's Order of Interbeing emphasizing mindfulness and peace.
436bf993462123f9b8838ddd40f857a5	Trúc Lâm (syncretic)	Vietnamese school combining Zen, Pure Land, and Confucian ethics.
d164872105168752f957b978d0e6b890	Zen Buddhism	Japanese meditation tradition emphasizing zazen and sudden awakening.
d52e6a075e9049c35e01d0e3abec3612	Japanese Zen	Japanese schools developing unique koan systems and monastic forms.
985c87608432fb17ee47b4aa0027b9e2	Caodong school	Chinese lineage emphasizing silent illumination and gradual cultivation.
adf1ae451614f398e38bdca4e9b55ff9	Sōtō	Japanese Caodong branch teaching "just sitting" and Buddha-nature realization.
d3fe4e535751098620e40fea155cfa90	Keizan line	Major Sōtō transmission through Keizan Jōkin's teachings and disciples.
42e731902d85473d65a13934d7bdb123	Jakuen line	Minor Sōtō transmission lineage with distinct teaching methods.
68918b84152c93cfec628e1cc2c682cc	Giin line	Sōtō lineage descended from Giin emphasizing specific practice methods.
c3e8d7d861d0961d2286d8b28739fb1c	Linji school	Chinese lineage using koan practice and sudden enlightenment methods.
68ac4db31f31e0f7ba6efb02c59092e8	Otokan line	Major Rinzai transmission lineage in Japanese Zen.
1d9edcf29b092135bc69e1cc2c27db1a	Rinzai	Japanese Linji branch emphasizing koan study and sudden awakening.
7b0b67cc44444d830015c361ef945725	Ōbaku	Japanese Zen blending Rinzai and Pure Land with Chinese cultural elements.
5b635a1007d807138fd918d844e10ee7	Fuke-shū	Shakuhachi flute-playing Zen sect emphasizing non-traditional practice.
ad29ad2e6f2c950a254c1dc44412ad2c	Sanbo Kyodan	Modern lay Zen movement integrating Sōtō and Rinzai approaches.
dde3c06fedc4a1fc2060597809dae0a5	Madhyamaka	Middle Way philosophy teaching emptiness and non-dualistic truth.
aff0ae57591ff8c7bc0412981a1802d2	Sanlun	Chinese Three Treatise school teaching emptiness and refuting views.
1b57908d79c8f04c8ff9c90f13321dfe	Prasaṅgika	Madhyamaka branch using consequentialist reasoning to refute positions.
fbc07032c8541992a422116139d0fd32	Svatantrika	Madhyamaka branch using autonomous syllogisms and conventional truth.
c154007015705629f26e69ab81aa2479	Nichiren Buddhism	Japanese tradition centering on Lotus Sutra chanting and social reform.
8c5ce5b373d197d6c43c3b2cd6a562aa	Fuju-fuse	Strict Nichiren sect refusing to give or receive from non-believers.
3580eba87a5a4490b9bbf13b12cfd5e3	Honmon Butsuryū-shū	Nichiren school emphasizing faith, practice, and social engagement.
1f572f785eb43afccb5605a846c630fc	Kempon Hokke	Orthodox Nichiren branch rejecting modern compromises and innovations.
f3b6fb3653b16236dfbeb71c5740b318	Nichirenism	Political-religious nationalism based on Nichiren's teachings.
ec907c5a48a56b0ba044227bc5dcd908	Nichiren Shōshū	Orthodox Nichiren school claiming sole legitimate transmission.
